date,symbol,weight,expected_holdings,holdings_date,actual_weight,actual_lag,has_actual
2025-12-03,APT,-0.008045945988051195,2025-12-05,2025-12-05,0.0,2.0,True
2025-12-03,ASTER,-0.038909259555062976,2025-12-05,2025-12-05,-0.041181387734577926,2.0,True
2025-12-03,AVAX,0.05053997319793701,2025-12-05,2025-12-05,0.037364074863791,2.0,True
2025-12-03,BCH,0.041038724412630394,2025-12-05,2025-12-05,0.06269688162487722,2.0,True
2025-12-03,BNB,0.0407016433824744,2025-12-05,2025-12-05,0.045464731339636404,2.0,True
2025-12-03,BTC,0.0669015299981642,2025-12-05,2025-12-05,0.06185410183916453,2.0,True
2025-12-03,COMP,-0.06078280024958679,2025-12-05,,0.0,,False
2025-12-03,DOGE,-0.0028036269178793767,2025-12-05,2025-12-05,0.007517985457696249,2.0,True
2025-12-03,ENA,-0.030593648742886986,2025-12-05,2025-12-05,0.022606165535039205,2.0,True
2025-12-03,ETH,0.05872075159805059,2025-12-05,2025-12-05,0.028166523368669094,2.0,True
2025-12-03,FET,-0.009703497403400204,2025-12-05,2025-12-05,-0.030825594002598614,2.0,True
2025-12-03,FIL,-0.030189151506699794,2025-12-05,2025-12-05,-0.014897864535659971,2.0,True
2025-12-03,HBAR,-0.003989264891009999,2025-12-05,2025-12-05,0.0,2.0,True
2025-12-03,LINK,0.0036521838608540164,2025-12-05,2025-12-05,0.011517688160224677,2.0,True
2025-12-03,LTC,0.01291162155746679,2025-12-05,,0.0,,False
2025-12-03,NEAR,0.0035173514487916186,2025-12-05,2025-12-05,-0.027871612702672216,2.0,True
2025-12-03,PAXG,-0.007439200133770404,2025-12-05,2025-12-05,0.01276584856139916,2.0,True
2025-12-03,PENGU,0.014029843324566207,2025-12-05,2025-12-05,-0.00991780606892523,2.0,True
2025-12-03,PUMP,-0.024070421758122403,2025-12-05,2025-12-05,-0.0373977518064538,2.0,True
2025-12-03,SOL,0.048612756958463205,2025-12-05,2025-12-05,0.015440081093601074,2.0,True
2025-12-03,STRK,-0.007776281163926401,2025-12-05,2025-12-05,-0.018543690098457296,2.0,True
2025-12-03,SUI,-0.0028710431239105765,2025-12-05,2025-12-05,-0.012231239472656193,2.0,True
2025-12-03,TAO,0.04648329210089581,2025-12-05,2025-12-05,0.049383047760633715,2.0,True
2025-12-03,TIA,-0.028868681121506784,2025-12-05,2025-12-05,-0.044397079108665354,2.0,True
2025-12-03,TNSR,-0.06896357864970037,2025-12-05,2025-12-05,-0.06840756527249614,2.0,True
2025-12-03,TRX,-0.0016575514153490001,2025-12-05,2025-12-05,-0.013882085545854744,2.0,True
2025-12-03,TURBO,-0.046483292100895794,2025-12-05,2025-12-05,-0.04546071140338947,2.0,True
2025-12-03,UNI,-0.021806124488492607,2025-12-05,2025-12-05,-0.0292048570397291,2.0,True
2025-12-03,VIRTUAL,-0.008180778400113593,2025-12-05,2025-12-05,-0.0,2.0,True
2025-12-03,WIF,-0.05074222181603058,2025-12-05,,0.0,,False
2025-12-03,WLD,-0.010377659463712191,2025-12-05,2025-12-05,-0.010358038592080017,2.0,True
2025-12-03,WLFI,-0.0009833893550370149,2025-12-05,2025-12-05,0.012301891443399757,2.0,True
2025-12-03,XPL,-0.029003513533569177,2025-12-05,2025-12-05,-0.036893134129479234,2.0,True
2025-12-03,XRP,-0.014704005384878182,2025-12-05,,0.0,,False
2025-12-03,ZEN,-0.0154851461218216,2025-12-05,2025-12-05,0.0,2.0,True
2025-12-04,AAVE,0.022075789312617406,2025-12-06,2025-12-06,0.018406125153064192,2.0,True
2025-12-04,ADA,0.018288773039701004,2025-12-06,2025-12-06,0.01666304250146105,2.0,True
2025-12-04,APT,0.006388394572702204,2025-12-06,,0.0,,False
2025-12-04,ASTER,0.038504762318875806,2025-12-06,2025-12-06,0.040190640590020955,2.0,True
2025-12-04,AVAX,0.0383699299068134,2025-12-06,2025-12-06,0.03402771745391372,2.0,True
2025-12-04,BCH,0.010916989111961796,2025-12-06,2025-12-06,0.00814575247326481,2.0,True
