holdings_date,daily_te_correct,n_matched_correct,n_sign_correct_correct,daily_te_wrong,n_matched_wrong,n_sign_correct_wrong,te_diff
2025-02-05,1.0988827999116455,0,0,0.959799090872984,0,0,-0.13908370903866152
2025-02-06,0.959799090872984,0,0,0.9094663805005859,0,0,-0.05033271037239806
2025-02-07,0.9094663805005859,0,0,0.9446781090783448,0,0,0.035211728577758894
2025-02-08,0.9446781090783448,0,0,0.7919460569434676,0,0,-0.15273205213487717
2025-02-09,0.7919460569434676,0,0,0.8277130496942111,0,0,0.035766992750743465
2025-02-10,0.8277130496942111,0,0,0.7436495812237081,0,0,-0.08406346847050306
2025-02-11,0.7436495812237081,0,0,0.9649433258854766,0,0,0.22129374466176854
2025-02-12,0.9649433258854766,0,0,0.946302448079041,0,0,-0.01864087780643564
2025-02-13,0.946302448079041,0,0,1.001649205218047,0,0,0.05534675713900605
2025-02-14,1.001649205218047,0,0,1.049368921467941,0,0,0.047719716249893906
